sp	sex		index	label
"B"	"M"		1		47
"B"	"M"		2		47
"B"	"M"		3		47
"B"	"M"		4		39
"B"	"M"		5		39
"B"	"M"		6		45
"B"	"M"		7		45
"B"	"M"		8		31
"B"	"M"		9		31
"B"	"M"		10		37
"B"	"M"		11		29
"B"	"M"		12		29
"B"	"M"		13		29
"B"	"M"		14		29
"B"	"M"		15		29
"B"	"M"		16		29
"B"	"M"		17		44
"B"	"M"		18		44
"B"	"M"		19		44
"B"	"M"		20		36
"B"	"M"		21		13
"B"	"M"		22		43
"B"	"M"		23		43
"B"	"M"		24		43
"B"	"M"		25		43
"B"	"M"		26		43
"B"	"M"		27		43
"B"	"M"		28		41
"B"	"M"		29		42
"B"	"M"		30		42
"B"	"M"		31		41
"B"	"M"		32		40
"B"	"M"		33		41
"B"	"M"		34		40
"B"	"M"		35		32
"B"	"M"		36		40
"B"	"M"		37		32
"B"	"M"		38		40
"B"	"M"		39		32
"B"	"M"		40		24
"B"	"M"		41		24
"B"	"M"		42		16
"B"	"M"		43		24
"B"	"M"		44		8
"B"	"M"		45		16
"B"	"M"		46		16
"B"	"M"		47		8
"B"	"M"		48		8
"B"	"M"		49		8
"B"	"M"		50		0
"B"	"F"		1		47
"B"	"F"		2		47
"B"	"F"		3		47
"B"	"F"		4		47
"B"	"F"		5		47
"B"	"F"		6		47
"B"	"F"		7		46
"B"	"F"		8		46
"B"	"F"		9		46
"B"	"F"		10		38
"B"	"F"		11		38
"B"	"F"		12		45
"B"	"F"		13		31
"B"	"F"		14		31
"B"	"F"		15		45
"B"	"F"		16		31
"B"	"F"		17		37
"B"	"F"		18		31
"B"	"F"		19		37
"B"	"F"		20		29
"B"	"F"		21		29
"B"	"F"		22		29
"B"	"F"		23		44
"B"	"F"		24		29
"B"	"F"		25		21
"B"	"F"		26		21
"B"	"F"		27		21
"B"	"F"		28		36
"B"	"F"		29		14
"B"	"F"		30		14
"B"	"F"		31		13
"B"	"F"		32		20
"B"	"F"		33		27
"B"	"F"		34		20
"B"	"F"		35		20
"B"	"F"		36		12
"B"	"F"		37		19
"B"	"F"		38		27
"B"	"F"		39		35
"B"	"F"		40		19
"B"	"F"		41		27
"B"	"F"		42		19
"B"	"F"		43		19
"B"	"F"		44		26
"B"	"F"		45		19
"B"	"F"		46		34
"B"	"F"		47		11
"B"	"F"		48		18
"B"	"F"		49		10
"B"	"F"		50		9
"O"	"M"		1		47
"O"	"M"		2		39
"O"	"M"		3		39
"O"	"M"		4		38
"O"	"M"		5		45
"O"	"M"		6		31
"O"	"M"		7		37
"O"	"M"		8		23
"O"	"M"		9		23
"O"	"M"		10		23
"O"	"M"		11		15
"O"	"M"		12		15
"O"	"M"		13		15
"O"	"M"		14		15
"O"	"M"		15		15
"O"	"M"		16		23
"O"	"M"		17		7
"O"	"M"		18		14
"O"	"M"		19		7
"O"	"M"		20		6
"O"	"M"		21		6
"O"	"M"		22		6
"O"	"M"		23		5
"O"	"M"		24		4
"O"	"M"		25		5
"O"	"M"		26		34
"O"	"M"		27		33
"O"	"M"		28		42
"O"	"M"		29		34
"O"	"M"		30		33
"O"	"M"		31		33
"O"	"M"		32		25
"O"	"M"		33		24
"O"	"M"		34		25
"O"	"M"		35		25
"O"	"M"		36		33
"O"	"M"		37		25
"O"	"M"		38		24
"O"	"M"		39		24
"O"	"M"		40		16
"O"	"M"		41		16
"O"	"M"		42		8
"O"	"M"		43		8
"O"	"M"		44		0
"O"	"M"		45		0
"O"	"M"		46		8
"O"	"M"		47		0
"O"	"M"		48		0
"O"	"M"		49		0
"O"	"M"		50		0
"O"	"F"		1		46
"O"	"F"		2		46
"O"	"F"		3		31
"O"	"F"		4		31
"O"	"F"		5		37
"O"	"F"		6		22
"O"	"F"		7		28
"O"	"F"		8		22
"O"	"F"		9		14
"O"	"F"		10		6
"O"	"F"		11		6
"O"	"F"		12		5
"O"	"F"		13		12
"O"	"F"		14		5
"O"	"F"		15		5
"O"	"F"		16		4
"O"	"F"		17		12
"O"	"F"		18		12
"O"	"F"		19		4
"O"	"F"		20		4
"O"	"F"		21		26
"O"	"F"		22		26
"O"	"F"		23		19
"O"	"F"		24		34
"O"	"F"		25		3
"O"	"F"		26		18
"O"	"F"		27		3
"O"	"F"		28		3
"O"	"F"		29		18
"O"	"F"		30		25
"O"	"F"		31		3
"O"	"F"		32		3
"O"	"F"		33		18
"O"	"F"		34		2
"O"	"F"		35		2
"O"	"F"		36		10
"O"	"F"		37		10
"O"	"F"		38		9
"O"	"F"		39		9
"O"	"F"		40		10
"O"	"F"		41		17
"O"	"F"		42		9
"O"	"F"		43		9
"O"	"F"		44		10
"O"	"F"		45		1
"O"	"F"		46		9
"O"	"F"		47		1
"O"	"F"		48		1
"O"	"F"		49		1
"O"	"F"		50		0
